iter	RMSE
0	5.977524566
1	5.78156931
2	5.611095102
3	5.44948901
4	5.297455698
5	5.134056038
6	5.022324282
7	4.872861489
8	4.731224077
9	4.600016523
10	4.481832003
11	4.372689234
12	4.250353339
13	4.154178641
14	4.051824447
15	3.949685027
16	3.863563289
17	3.777552322
18	3.703487397
19	3.626270924
20	3.554588577
21	3.483863982
22	3.421045118
23	3.354173543
24	3.297588382
25	3.233698993
26	3.184842951
27	3.118156316
28	3.054943384
29	3.00863262
30	2.963987214
31	2.924916004
32	2.885923197
33	2.855284088
34	2.822604024
35	2.787552889
36	2.744349513
37	2.708174979
38	2.681863747
39	2.658673258
40	2.61754327
41	2.596066418
42	2.559524449
43	2.536953674
44	2.512345167
45	2.490644074
46	2.460750044
47	2.442455775
48	2.421550519
49	2.406913951
50	2.387153244
51	2.366461688
52	2.348824893
53	2.330923082
54	2.313531852
55	2.300294905
56	2.286530949
57	2.271725449
58	2.2529091
59	2.237874407
60	2.224570162
61	2.211630733
62	2.1978029
63	2.183509251
64	2.172839654
65	2.160484367
66	2.147276599
67	2.138986513
68	2.129935277
69	2.121493506
70	2.108594911
71	2.099801399
72	2.090786344
73	2.082558978
74	2.073887448
75	2.064670983
76	2.057234957
77	2.048365153
78	2.037504165
79	2.029187891
80	2.026840762
81	2.019688594
82	2.013093476
83	2.005891404
84	2.001185018
85	1.993715829
86	1.989716609
87	1.98487793
88	1.977973574
89	1.97234878
90	1.969281449
91	1.963858262
92	1.958352765
93	1.951860253
94	1.941166975
95	1.935098181
96	1.930038501
97	1.924850706
98	1.921187875
99	1.916100813
