iter	Passed	Remaining
0	1	105
1	1	72
2	2	65
3	2	61
4	3	57
5	3	60
6	5	70
7	6	69
8	6	69
9	8	72
10	8	72
11	10	76
12	11	78
13	12	78
14	13	77
15	14	77
16	15	75
17	16	75
18	18	78
19	19	76
20	19	74
21	20	73
22	21	71
23	22	69
24	22	68
25	23	67
26	24	66
27	25	65
28	26	64
29	27	63
30	27	61
31	28	59
32	28	57
33	30	58
34	30	56
35	30	54
36	31	53
37	31	51
38	31	49
39	32	48
40	32	46
41	32	45
42	33	43
43	33	42
44	33	41
45	34	40
46	34	38
47	34	37
48	35	36
49	35	35
50	36	34
51	36	33
52	36	32
53	37	31
54	37	30
55	37	29
56	38	28
57	38	27
58	38	26
59	39	26
60	39	25
61	39	24
62	40	23
63	40	22
64	40	21
65	41	21
66	41	20
67	41	19
68	42	18
69	42	18
70	42	17
71	43	16
72	43	16
73	43	15
74	43	14
75	44	13
76	44	13
77	44	12
78	45	12
79	45	11
80	45	10
81	46	10
82	46	9
83	46	8
84	47	8
85	47	7
86	47	7
87	48	6
88	48	5
89	48	5
90	48	4
91	49	4
92	49	3
93	49	3
94	50	2
95	50	2
96	50	1
97	51	1
98	51	0
99	51	0
